no_of_pc,youden_index
10,0.035087719
10,0.093150685
10,-0.031232877
10,-0.084200913
10,-0.08456621
20,0.565789474
20,0.473789954
20,0.583378995
20,0.515251142
20,0.568219178
30,0.699561404
30,0.688219178
30,0.676712329
30,0.582283105
30,0.594885845
40,0.755116959
40,0.675251142
40,0.675981735
40,0.554155251
40,0.567488584
50,0.769005848
50,0.716347032
50,0.621552511
50,0.568584475
50,0.608219178
60,0.754385965
60,0.715981735
60,0.675981735
60,0.568584475
60,0.580821918
70,0.768274854
70,0.729315068
70,0.689680365
70,0.595616438
70,0.567488584
80,0.755847953
80,0.702283105
80,0.636347032
80,0.581552511
80,0.567853881
90,0.796052632
90,0.715616438
90,0.608949772
90,0.622648402
90,0.567853881
100,0.768274854
100,0.756347032
100,0.649680365
100,0.596347032
100,0.594885845
110,0.769005848
110,0.715616438
110,0.649315068
110,0.595981735
110,0.540821918
150,0.782894737
150,0.716347032
150,0.677077626
150,0.529315068
150,0.608584475
175,0.796783626
175,0.702648402
175,0.704109589
175,0.609315068
175,0.581917808
200,0.74122807
200,0.702648402
200,0.650045662
200,0.569315068
200,0.595251142
225,0.782894737
225,0.688584475
225,0.649680365
225,0.595981735
225,0.608949772
250,0.755116959
250,0.715981735
250,0.649680365
250,0.582283105
250,0.622283105
300,0.714181287
300,0.688584475
300,0.650410959
300,0.555251142
300,0.622283105
350,0.755116959
350,0.661187215
350,0.636712329
350,0.568584475
350,0.595251142
400,0.727339181
400,0.674885845
400,0.650410959
400,0.595251142
400,0.621917808
400,0.714912281
400,0.661187215
400,0.663378995
400,0.608949772
400,0.608949772
400,0.74122807
400,0.634155251
400,0.663744292
400,0.609315068
400,0.594885845
